size,time,type,action
1,0,parallel,vector
1,0,parallel,sum
2,0,parallel,vector
2,0,parallel,sum
3,0,parallel,vector
3,0,parallel,sum
4,0,parallel,vector
4,0,parallel,sum
5,0,parallel,vector
5,0,parallel,sum
6,0,parallel,vector
6,0,parallel,sum
7,0,parallel,vector
7,0,parallel,sum
8,0,parallel,vector
8,0,parallel,sum
9,0,parallel,vector
9,0,parallel,sum
10,0,parallel,vector
10,0,parallel,sum
11,0,parallel,vector
11,0,parallel,sum
12,0,parallel,vector
12,0,parallel,sum
13,0,parallel,vector
13,0,parallel,sum
14,0,parallel,vector
14,0,parallel,sum
15,0,parallel,vector
15,0,parallel,sum
16,0,parallel,vector
16,0,parallel,sum
17,0,parallel,vector
17,0,parallel,sum
18,0,parallel,vector
18,0,parallel,sum
19,0,parallel,vector
19,0,parallel,sum
20,0,parallel,vector
20,0,parallel,sum
21,0,parallel,vector
21,0,parallel,sum
22,0,parallel,vector
22,0,parallel,sum
23,0,parallel,vector
23,0,parallel,sum
24,0,parallel,vector
24,0,parallel,sum
25,0,parallel,vector
25,0,parallel,sum
26,0,parallel,vector
26,0,parallel,sum
27,0,parallel,vector
27,0,parallel,sum
28,0,parallel,vector
28,0,parallel,sum
29,0.001,parallel,vector
29,0,parallel,sum
30,0,parallel,vector
30,0,parallel,sum
31,0,parallel,vector
31,0,parallel,sum
32,0,parallel,vector
32,0,parallel,sum
33,0,parallel,vector
33,0,parallel,sum
34,0,parallel,vector
34,0,parallel,sum
35,0,parallel,vector
35,0,parallel,sum
36,0,parallel,vector
36,0,parallel,sum
37,0,parallel,vector
37,0.001,parallel,sum
38,0,parallel,vector
38,0,parallel,sum
39,0,parallel,vector
39,0,parallel,sum
40,0,parallel,vector
40,0,parallel,sum
41,0,parallel,vector
41,0,parallel,sum
42,0,parallel,vector
42,0,parallel,sum
43,0.001,parallel,vector
43,0,parallel,sum
44,0,parallel,vector
44,0,parallel,sum
45,0,parallel,vector
45,0,parallel,sum
46,0,parallel,vector
46,0,parallel,sum
47,0,parallel,vector
47,0.001,parallel,sum
48,0,parallel,vector
48,0,parallel,sum
49,0,parallel,vector
49,0,parallel,sum
50,0,parallel,vector
50,0.001,parallel,sum
51,0,parallel,vector
51,0,parallel,sum
52,0,parallel,vector
